,artists,education,knowledge,school,science,songs,teach,teacher
3881,Kanye West,0,0,0,0,Heard 'Em Say,0,0
3882,Kanye West,0,0,0,0,Heard 'Em Say,0,0
3883,Kanye West,0,0,0,0,Heartless,0,0
3884,Kanye West,0,0,0,0,Hell of a Life,0,0
3885,Kanye West,0,0,0,0,Hey Mama,0,0
3854,Kanye West,0,0,0,0,Celebration,0,0
3853,Kanye West,0,0,0,0,Can't Tell Me Nothing,0,0
3852,Kanye West,0,0,0,0,Bring Me Down,0,0
3835,Juvenile,0,0,0,0,White Girl,0,0
3821,Juvenile,0,0,0,0,Something Got 2 Shake,0,0
3822,Juvenile,0,0,0,0,Spittin Game,0,0
3823,Juvenile,0,0,0,0,Sunshine,0,0
3824,Juvenile,0,0,0,0,Take Them 5,0,0
3825,Juvenile,0,0,0,0,Tha Man,0,0
3826,Juvenile,0,0,0,0,That's How It Be Happenin,0,0
3827,Juvenile,0,0,0,0,They Lied,2,0
3828,Juvenile,0,0,0,0,U Understand,0,0
3829,Juvenile,0,0,0,0,U.P.T.,0,0
3830,Juvenile,0,0,0,0,Way I Be Leanin',0,0
